#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              2.3303              2.3303                   0
                   2              2.3889              2.3596           0.0207182
                   3              3.0471             2.58877            0.187623
                   4              2.7402             2.62662            0.144486
                   5              2.1808             2.53746            0.140432
                   6              2.1862             2.47892            0.128652
                   7                2.56              2.4905            0.110793
                   8              2.8138             2.53091            0.104054
                   9              2.9327             2.57556            0.101619
                  10              2.2698             2.54498           0.0959466
                  11              2.8676             2.57431           0.0915972
                  12              2.4813             2.56656           0.0842914
                  13              2.9302             2.59453           0.0823181
                  14              2.6506             2.59854           0.0765356
                  15              2.2749             2.57696           0.0744122
                  16              1.9509             2.53783           0.0793853
                  17              1.7132             2.48932           0.0883007
                  18              3.0684             2.52149            0.089063
                  19              2.7668             2.53441           0.0853061
                  20              2.7961             2.54749           0.0820382
