#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             12.5204             12.5204                   0
                   2             12.7943             12.6573           0.0968294
                   3             12.8553             12.7233           0.0840805
                   4             12.9039             12.7685           0.0741947
                   5             12.5277             12.7203           0.0733367
                   6             12.5821             12.6973           0.0646296
                   7             12.5709             12.6792           0.0578624
                   8             12.6348             12.6737           0.0508953
                   9             12.5745             12.6627            0.046417
                  10             12.5175             12.6481           0.0439863
                  11             12.6701             12.6501           0.0400328
                  12              12.531             12.6402           0.0379073
                  13             12.5837             12.6359           0.0352396
                  14             12.5326             12.6285           0.0334862
                  15             12.5094             12.6206           0.0321808
                  16             12.7647             12.6296           0.0314053
                  17             12.6418             12.6303           0.0295662
                  18             12.7199             12.6353           0.0283401
                  19             12.5441             12.6305           0.0272516
                  20             12.5691             12.6274           0.0260611
