#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             95.2073             95.2073                   0
                   2             99.5077             97.3575             1.52039
                   3             96.2311              96.982             1.05894
                   4             99.4306             97.5942            0.954887
                   5             96.6735             97.4101            0.781461
                   6             94.5947             96.9408            0.779461
                   7             97.0823              96.961            0.668371
                   8             93.0496             96.4721            0.742423
                   9              94.806              96.287            0.682621
                  10               95.09             96.1673            0.624765
                  11             94.7767             96.0409            0.580619
                  12             95.2335             95.9736            0.536117
                  13             98.0806             96.1357            0.518799
                  14              93.115             95.9199            0.524693
                  15             95.7517             95.9087            0.489833
                  16              96.092             95.9202            0.459352
                  17             97.2322             95.9973            0.438768
                  18             99.5739              96.196            0.457175
                  19             94.7973             96.1224               0.439
                  20             99.7844             96.3055             0.45363
