#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1             10.4353             10.4353                   0
                   2             11.0107              10.723            0.203435
                   3              9.8503             10.4321            0.273512
                   4             10.4343             10.4326            0.205135
                   5             10.7519             10.4965            0.173761
                   6             11.5108             10.6655            0.211618
                   7             12.5465             10.9343             0.30788
                   8              9.9404               10.81             0.29339
                   9              9.0748             10.6172            0.317891
                  10             10.6425             10.6197            0.286112
                  11             11.6049             10.7093             0.27376
                  12              9.3002             10.5919             0.27498
                  13             10.4249              10.579            0.254128
                  14             11.5571             10.6489            0.245391
                  15             11.4429             10.7018            0.234671
                  16             11.5892             10.7573            0.226463
                  17             10.0891              10.718            0.216526
                  18             11.4555              10.759            0.208337
                  19             11.0645              10.775            0.197991
                  20              11.643             10.8184            0.192789
