#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1             40.5666             40.5666                   0
                   2             35.3345             37.9505             1.84983
                   3             40.3651             38.7554             1.39738
                   4             38.6622             38.7321             1.04823
                   5             37.9984             38.5854            0.848795
                   6             36.5022             38.2382            0.775091
                   7             42.2266             38.8079             0.84832
                   8             41.0202             39.0845             0.78606
                   9             37.6635             38.9266            0.714401
                  10             34.8017             38.5141            0.752682
                  11             37.1993             38.3946            0.693682
                  12             39.2559             38.4663            0.639578
                  13             37.0096             38.3543            0.600116
                  14             40.8239             38.5307              0.5826
                  15             36.0026             38.3622            0.567615
                  16             36.1485             38.2238            0.548742
                  17              39.029             38.2712            0.518503
                  18             38.0014             38.2562            0.489914
                  19             40.8584             38.3931            0.482893
                  20              34.678             38.2074            0.493184
