#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.927004            -0.927004                    0
                   2           -0.928732            -0.927868           0.00061094
                   3           -0.919264               -0.925           0.00237687
                   4            -0.91984             -0.92371           0.00210379
                   5           -0.927116            -0.924391           0.00178992
                   6            -0.92292            -0.924146            0.0015083
                   7           -0.924164            -0.924149           0.00129283
                   8           -0.931316            -0.925044           0.00140785
                   9           -0.918672            -0.924336           0.00141834
                  10           -0.928456            -0.924748           0.00133499
                  11           -0.925244            -0.924793           0.00121439
                  12           -0.929256            -0.925165           0.00116874
                  13           -0.919844            -0.924756           0.00114829
                  14           -0.925932             -0.92484           0.00106933
                  15           -0.926588            -0.924957           0.00100437
                  16           -0.926776             -0.92507          0.000948017
                  17             -0.9273            -0.925201          0.000901279
                  18           -0.926424            -0.925269          0.000853763
                  19           -0.924092            -0.925207          0.000811074
                  20           -0.929724            -0.925433          0.000801343
