#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             21.1306             21.1306                   0
                   2             20.8255             20.9781            0.107869
                   3             18.8873             20.2812            0.573574
                   4             20.9468             20.4476            0.453677
                   5             20.9444             20.5469            0.373665
                   6             20.2985             20.5055            0.313674
                   7             20.3998             20.4904            0.269227
                   8             22.2348             20.7085            0.311604
                   9             21.7753              20.827             0.29868
                  10             20.6491             20.8092            0.269341
                  11             20.5027             20.7813            0.246293
                  12             22.0616              20.888            0.247802
                  13             21.2478             20.9157            0.230281
                  14             21.0269             20.9236            0.213969
                  15             20.6098             20.9027            0.200725
                  16              20.264             20.8628            0.192108
                  17             23.0614             20.9921            0.220078
                  18             24.0784             21.1636            0.266397
                  19             21.0466             21.1574            0.252447
                  20             21.6586             21.1825            0.241066
