#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             58.7304             58.7304                   0
                   2              60.447             59.5887            0.606881
                   3             59.7281             59.6352            0.406362
                   4              60.572             59.8694            0.366089
                   5             59.7293             59.8414            0.293941
                   6             61.7529               60.16            0.380247
                   7             61.1941             60.3077            0.353461
                   8             58.3094             60.0579            0.387619
                   9             60.6116             60.1194            0.349398
                  10             59.6863             60.0761            0.317132
                  11              60.031              60.072            0.288328
                  12             61.4387             60.1859            0.285911
                  13             61.1618              60.261            0.273595
                  14             59.2396              60.188            0.263599
                  15             60.0242             60.1771            0.246252
                  16             59.9938             60.1656            0.231128
                  17             59.4323             60.1225            0.221521
                  18             60.9076             60.1661            0.213465
                  19             59.3392             60.1226            0.206619
                  20              60.289             60.1309            0.196456
