#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             8.99149             8.99149                   0
                   2             8.85865             8.92507            0.046967
                   3             9.06283             8.97099           0.0488484
                   4             8.99459             8.97689           0.0369907
                   5             9.05771             8.99306           0.0329356
                   6             8.75697             8.95371            0.045205
                   7             8.90611             8.94691           0.0392552
                   8             8.87249             8.93761           0.0354333
                   9             8.81376             8.92385           0.0340637
                  10             8.89775             8.92124           0.0307572
                  11             8.95158             8.92399           0.0280845
                  12             9.07682             8.93673           0.0284857
                  13             9.18801             8.95606           0.0321914
                  14             9.06442              8.9638           0.0308085
                  15             8.86287             8.95707           0.0294803
                  16             8.95163             8.95673           0.0276397
                  17             9.06973             8.96338           0.0268012
                  18             8.90962             8.96039           0.0254781
                  19             8.82862             8.95346           0.0250633
                  20             8.83315             8.94744           0.0245214
