#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1              154.41              154.41                   0
                   2             155.787             155.099            0.487158
                   3             155.103               155.1            0.324775
                   4             154.645             154.986            0.262777
                   5             151.619             154.313            0.637961
                   6             154.711             154.379            0.535066
                   7             151.111             153.912             0.63021
                   8             155.216             154.075            0.572101
                   9             150.871             153.719            0.609301
                  10             151.982             153.546            0.572595
                  11             151.478             153.358            0.550535
                  12             154.477             153.451            0.512499
                  13              157.14             153.735            0.546034
                  14              153.07             153.687            0.509092
                  15             154.573             153.746            0.478565
                  16             157.471             153.979             0.50209
                  17             153.277             153.938            0.474252
                  18             157.649             154.144            0.490692
                  19             157.209             154.305            0.490671
                  20             163.251             154.753            0.638235
