#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             16.0707             16.0707                   0
                   2             16.6431             16.3569            0.202375
                   3             16.2938             16.3359            0.136006
                   4             16.0262             16.2585            0.122068
                   5             16.1436             16.2355            0.099795
                   6             16.3492             16.2544           0.0849415
                   7             16.0624              16.227           0.0771105
                   8             16.5068              16.262            0.074983
                   9             16.1005              16.244            0.068765
                  10             15.9807             16.2177            0.066739
                  11             16.0359             16.2012           0.0626838
                  12             16.1396              16.196           0.0576702
                  13             16.0063             16.1814           0.0550504
                  14             15.9054             16.1617           0.0545343
                  15             16.3862             16.1767           0.0529119
                  16             16.4182             16.1918           0.0517127
                  17             16.3169             16.1992            0.049192
                  18             16.1934             16.1988           0.0464601
                  19             16.5015             16.2148           0.0466653
                  20              16.504             16.2292           0.0465197
