#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             314.459             314.459                   0
                   2             295.109             304.784              6.8416
                   3             303.488             304.352             4.57468
                   4             310.612             305.917             3.68896
                   5             287.819             302.297             4.38069
                   6             304.169             302.609             3.66166
                   7             320.487             305.163             3.92956
                   8             299.401             304.443             3.50376
                   9             318.277              305.98             3.43512
                  10             296.859             305.068             3.21043
                  11             311.475              305.65             2.97095
                  12             302.683             305.403             2.73364
                  13             304.787             305.356             2.52377
                  14             305.233             305.347             2.34352
                  15             292.877             304.516             2.33007
                  16             294.005             303.859             2.27517
                  17             313.099             304.402              2.2053
                  18             320.451             305.294             2.25584
                  19             293.814              304.69             2.21655
                  20             300.195             304.465             2.11708
