#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.601336            -0.601336                    0
                   2           -0.603128            -0.602232          0.000633568
                   3           -0.601384            -0.601949          0.000481322
                   4           -0.600104            -0.601488          0.000538457
                   5           -0.601012            -0.601393          0.000439101
                   6            -0.60288            -0.601641          0.000430225
                   7            -0.60298            -0.601832          0.000409104
                   8            -0.60152            -0.601793           0.00035982
                   9           -0.598308            -0.601406          0.000485364
                  10           -0.600236            -0.601289          0.000450704
                  11           -0.603428            -0.601483          0.000449734
                  12            -0.60132             -0.60147          0.000412462
                  13            -0.60238             -0.60154          0.000386633
                  14           -0.601704            -0.601551          0.000359194
                  15           -0.597648            -0.601291          0.000419041
                  16            -0.60362            -0.601437          0.000417364
                  17           -0.602176             -0.60148          0.000395072
                  18           -0.601472             -0.60148          0.000373124
                  19             -0.6002            -0.601412          0.000359514
                  20           -0.603044            -0.601494          0.000350672
