#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             141.342             141.342                   0
                   2             145.619             143.481              1.5121
                   3              143.57             143.511             1.00836
                   4             140.256             142.697             1.03364
                   5             135.599             141.277             1.51529
                   6             137.624             140.669             1.37966
                   7             139.324             140.476             1.19587
                   8             133.018             139.544             1.36216
                   9             137.667             139.336             1.22668
                  10             140.422             139.444             1.10881
                  11             137.486             139.266              1.0222
                  12             140.095             139.335            0.939351
                  13              141.31             139.487            0.879287
                  14             133.447             139.056            0.916239
                  15             137.339             138.941            0.862273
                  16             136.777             138.806             0.81892
                  17             141.018             138.936            0.781021
                  18             138.642              138.92            0.737802
                  19             131.748             138.542            0.789654
                  20             142.572             138.744            0.775446
