#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             15.2072             15.2072                   0
                   2             15.2742             15.2407           0.0236799
                   3             15.7073             15.3962            0.127955
                   4             15.6422             15.4577            0.109752
                   5             15.4192               15.45           0.0880727
                   6             15.5648             15.4692            0.075444
                   7             15.3013             15.4452           0.0683732
                   8             15.2128             15.4161           0.0657072
                   9             15.5625             15.4324           0.0603857
                  10             15.4823             15.4374           0.0545528
                  11              15.513             15.4443           0.0500251
                  12             15.4009             15.4406           0.0459868
                  13             15.2928             15.4293           0.0438338
                  14             15.3832              15.426           0.0408261
                  15             15.2546             15.4145            0.039671
                  16             15.7739              15.437            0.043082
                  17             15.4623             15.4385           0.0405734
                  18             15.4948             15.4416           0.0384398
                  19             14.8346             15.4097           0.0478871
                  20             15.5067             15.4145            0.045738
