#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.7111              1.7111                   0
                   2              1.5957              1.6534           0.0408001
                   3              1.2746             1.52713            0.106624
                   4              1.5949             1.54408           0.0813028
                   5              1.1752              1.4703           0.0926536
                   6              1.1649              1.4194           0.0901144
                   7              1.2564             1.39611            0.080193
                   8              1.3544              1.3909           0.0703382
                   9              1.4847             1.40132           0.0632903
                  10              1.2914             1.39033            0.057908
                  11              1.3945             1.39071           0.0526448
                  12              1.6155             1.40944           0.0514828
                  13              1.2175             1.39468           0.0495946
                  14              1.7009             1.41655           0.0506464
                  15              1.3179             1.40997           0.0476951
                  16              1.4457             1.41221           0.0447664
                  17              1.2394             1.40204           0.0432717
                  18              1.1307             1.38697           0.0434142
                  19              1.4614             1.39088           0.0413056
                  20              1.2423             1.38346           0.0399028
