#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1             24.4924             24.4924                   0
                   2             23.0531             23.7728            0.508869
                   3             26.9287             24.8247            0.923508
                   4             22.6618              24.284            0.836081
                   5             21.8622             23.7996            0.796909
                   6             21.0561             23.3424            0.784381
                   7             26.6588             23.8162            0.802757
                   8             24.0046             23.8397            0.702758
                   9             23.7924             23.8345            0.624693
                  10             22.2806             23.6791            0.581228
                  11             21.0505             23.4401            0.575418
                  12             20.4126             23.1878            0.580145
                  13             21.5541             23.0621            0.548961
                  14             21.3992             22.9434            0.522442
                  15             23.6067             22.9876            0.489481
                  16             25.5378              23.147            0.484144
                  17             24.7011             23.2384            0.464216
                  18             25.0719             23.3403            0.449463
                  19             26.2187             23.4918            0.450616
                  20             27.5882             23.6966            0.472347
