#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             38.5911             38.5911                   0
                   2             40.4203             39.5057            0.646723
                   3             38.7334             39.2483            0.479659
                   4             38.4191              39.041            0.402047
                   5             39.8236             39.1975            0.350782
                   6             40.1031             39.3484             0.32316
                   7             39.3703             39.3516             0.27701
                   8             38.9986             39.3074            0.245872
                   9             39.0089             39.2743            0.220779
                  10             39.6689             39.3137            0.202197
                  11             38.8293             39.2697             0.18855
                  12             39.7651              39.311              0.1773
                  13             38.8042              39.272            0.167893
                  14             38.6192             39.2254            0.162246
                  15             39.1173             39.2182             0.15159
                  16             38.9991             39.2045            0.142732
                  17             38.0644             39.1374            0.149261
                  18              39.624             39.1645            0.143396
                  19             38.4153              39.125            0.141166
                  20             38.7802             39.1078            0.135156
