#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             1785.34             1785.34                   0
                   2             1951.22             1868.28             58.6478
                   3             1864.91             1867.16             39.1092
                   4             2076.12              1919.4             53.9178
                   5             2058.36             1947.19             49.7848
                   6              1809.8             1924.29             46.4561
                   7             1859.15             1914.99             40.7408
                   8             1856.28             1907.65             36.3031
                   9                1649             1878.91             42.1363
                  10             1809.45             1871.96             38.4909
                  11             2153.96              1897.6             42.6836
                  12             1917.95             1899.29             39.1603
                  13             1826.17             1893.67             36.5497
                  14             2012.09             1902.13              34.904
                  15             1894.34             1901.61             32.5809
                  16             1860.39             1899.03             30.6463
                  17             1862.99             1896.91             28.9168
                  18             1942.07             1899.42              27.419
                  19             1947.48             1901.95             26.0923
                  20             2157.44             1914.72             27.7391
