#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             21.2166             21.2166                   0
                   2             22.1156             21.6661            0.317833
                   3             20.9504             21.4275            0.287817
                   4             21.9938             21.5691             0.24825
                   5             21.0091             21.4571            0.222432
                   6             21.7854             21.5118            0.191973
                   7             22.8058             21.6967            0.237413
                   8             20.4927             21.5462            0.250944
                   9             21.3268             21.5218            0.224242
                  10             20.9403             21.4637            0.209222
                  11             21.0924             21.4299            0.192905
                  12             22.0405             21.4808            0.183418
                  13             22.0887             21.5276            0.175169
                  14             22.4994              21.597            0.175873
                  15             21.5039             21.5908            0.164258
                  16             19.4859             21.4592            0.199845
                  17             21.0781             21.4368            0.189342
                  18             22.8667             21.5162            0.194777
                  19              21.057             21.4921            0.186019
                  20             21.3506              21.485            0.176853
