#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.1856              1.1856                   0
                   2              1.5137             1.34965            0.116001
                   3              1.8962             1.53183            0.167654
                   4              1.9284             1.63098            0.152258
                   5              1.8256              1.6699            0.126684
                   6              1.2747             1.60403            0.121492
                   7                 1.4             1.57489            0.107576
                   8              1.9376             1.62023            0.103242
                   9              1.6001             1.61799           0.0917951
                  10              1.2973             1.58592           0.0880392
                  11              1.9451             1.61857           0.0858777
                  12              1.6286             1.61941           0.0787253
                  13              1.5534             1.61433            0.072833
                  14              1.5056             1.60656           0.0680435
                  15              1.3942             1.59241           0.0649634
                  16               1.197             1.56769           0.0654352
                  17              0.9719             1.53265           0.0703481
                  18              1.6029             1.53655           0.0665481
                  19              1.8226             1.55161           0.0647261
                  20              1.4361             1.54583           0.0617469
