#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             10.4471             10.4471                   0
                   2             10.2529               10.35           0.0686387
                   3              10.535             10.4117           0.0680372
                   4             10.4269             10.4155           0.0511348
                   5              10.387             10.4098            0.041223
                   6             10.1771              10.371           0.0493338
                   7             10.3558             10.3688           0.0423339
                   8             10.2509             10.3541           0.0395277
                   9              10.198             10.3368           0.0387528
                  10             10.4379             10.3469           0.0361729
                  11             10.2821              10.341           0.0333601
                  12             10.3792             10.3442           0.0307321
                  13             10.4265             10.3505           0.0290131
                  14             10.3855              10.353           0.0270482
                  15             10.1324             10.3383           0.0289687
                  16             10.3705             10.3403           0.0272281
                  17             10.4187             10.3449           0.0260144
                  18             10.2938             10.3421           0.0247239
                  19             10.1866             10.3339           0.0247398
                  20             10.2399             10.3292           0.0239453
