#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             71.7127             71.7127                   0
                   2             72.9108             72.3117            0.423571
                   3             71.6318             72.0851            0.337617
                   4             73.5282             72.4459            0.402157
                   5             71.8719             72.3311            0.337712
                   6             72.0179             72.2789            0.285433
                   7             73.4085             72.4402             0.28667
                   8             70.1911             72.1591             0.36343
                   9                71.9             72.1303            0.324188
                  10             71.6053             72.0778             0.29599
                  11             72.2536             72.0938            0.269513
                  12              71.663             72.0579            0.249433
                  13             74.3826             72.2367            0.287281
                  14              70.949             72.1447            0.281101
                  15             72.1873             72.1476            0.262375
                  16             71.3928             72.1004            0.250181
                  17             71.8758             72.0872            0.235813
                  18             75.0281             72.2506            0.273519
                  19             71.6082             72.2168            0.261205
                  20             72.8535             72.2486            0.250077
