#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1             13.6604             13.6604                   0
                   2             11.7451             12.7027            0.677161
                   3             11.9981             12.4679            0.490488
                   4             12.5554             12.4897            0.368354
                   5             12.0197             12.3957            0.306445
                   6             13.7081             12.6145            0.324164
                   7             13.4928             12.7399            0.301161
                   8             12.0786             12.6573            0.274628
                   9             12.1716             12.6033            0.249359
                  10             12.8311             12.6261            0.225461
                  11             15.3597             12.8746            0.313295
                  12             12.4931             12.8428            0.288795
                  13             13.8303             12.9188             0.27639
                  14             14.8417             13.0561            0.288766
                  15             12.0233             12.9873            0.277603
                  16             13.3772             13.0116             0.26132
                  17             17.5255             13.2772            0.356153
                  18             14.6485             13.3533            0.344419
                  19             13.2835             13.3497            0.326311
                  20             14.6932             13.4168            0.316835
