#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.2562              1.2562                   0
                   2              0.9913             1.12375           0.0936563
                   3              0.9233             1.05693           0.0829142
                   4               0.794              0.9912           0.0843072
                   5               0.959             0.98476           0.0676913
                   6              1.0136            0.989567           0.0565798
                   7               0.774            0.958771           0.0562568
                   8              1.1052            0.977075           0.0521173
                   9              0.7861            0.955856           0.0504617
                  10              0.7573               0.936           0.0491669
                  11              0.9211            0.934645           0.0447158
                  12              0.9308            0.934325           0.0409907
                  13              0.8807              0.9302           0.0380445
                  14              1.0184              0.9365           0.0358449
                  15              0.8427            0.930247           0.0339963
                  16              1.2246            0.948644           0.0365116
                  17              0.9411              0.9482           0.0343665
                  18              1.0893            0.956039           0.0333393
                  19              1.0783            0.962474           0.0321996
                  20              0.9338             0.96104           0.0306215
