#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             13.7545             13.7545                   0
                   2             13.8966             13.8256           0.0502349
                   3             14.0615             13.9042            0.072423
                   4             14.2712              13.996            0.096242
                   5             14.1157             14.0199            0.079916
                   6             13.8375             13.9895           0.0721484
                   7             13.9685             13.9865            0.061904
                   8             13.9118             13.9772           0.0548666
                   9             14.0126             13.9811           0.0489114
                  10             13.7389             13.9569            0.049658
                  11             14.0111             13.9618           0.0453876
                  12             13.9168             13.9581           0.0417602
                  13             13.8668              13.951           0.0391331
                  14             13.7778             13.9387           0.0382441
                  15             13.6129             13.9169           0.0414058
                  16             14.1554             13.9318           0.0414128
                  17             13.7973             13.9239           0.0397256
                  18             13.9123             13.9233           0.0375239
                  19             13.6624             13.9096           0.0379773
                  20             13.9973             13.9139           0.0363307
