#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.563508            -0.563508                    0
                   2            -0.56652            -0.565014            0.0010649
                   3            -0.56472            -0.564916           0.00071443
                   4           -0.564148            -0.564724          0.000561029
                   5           -0.564608            -0.564701          0.000449303
                   6            -0.56558            -0.564847          0.000397597
                   7           -0.565812            -0.564985          0.000363897
                   8           -0.566316            -0.565152          0.000354401
                   9           -0.562184            -0.564822           0.00044258
                  10            -0.56368            -0.564708          0.000412787
                  11             -0.5657            -0.564798          0.000384994
                  12           -0.564912            -0.564807          0.000353028
                  13            -0.56524            -0.564841          0.000327437
                  14           -0.565168            -0.564864          0.000304883
                  15           -0.562324            -0.564695           0.00032823
                  16           -0.566864             -0.56483          0.000334549
                  17            -0.56688            -0.564951          0.000335895
                  18             -0.5658            -0.564998           0.00032053
                  19             -0.5639             -0.56494          0.000308826
                  20           -0.566688            -0.565028          0.000305499
