#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             34.3676             34.3676                   0
                   2             35.2518             34.8097            0.312627
                   3             34.3428             34.6541            0.244101
                   4             34.1121             34.5186            0.217456
                   5              35.434             34.7017            0.238916
                   6             35.3233             34.8053            0.220417
                   7             35.1395              34.853            0.194031
                   8             34.7597             34.8413            0.170128
                   9             34.5327              34.807            0.154643
                  10             35.2279             34.8491            0.144793
                  11             34.9179             34.8554            0.131765
                  12               35.36             34.8974            0.127318
                  13             34.5635             34.8717            0.120087
                  14             34.4867             34.8442            0.114615
                  15             34.2832             34.8068            0.112912
                  16             34.7537             34.8035            0.105904
                  17             33.8748             34.7489            0.112889
                  18             35.3199             34.7806            0.110986
                  19             34.1273             34.7462            0.110342
                  20             34.7068             34.7443            0.104843
