#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             5.38726             5.38726                   0
                   2             5.25102             5.31914           0.0481674
                   3             5.38161             5.33996           0.0363347
                   4             5.44057             5.36512           0.0348867
                   5             5.45189             5.38247           0.0319354
                   6              5.3418             5.37569           0.0273226
                   7             5.31591             5.36715           0.0247183
                   8             5.41787             5.37349           0.0224267
                   9             5.30323             5.36568           0.0212503
                  10             5.39027             5.36814            0.019267
                  11             5.34506             5.36604           0.0176293
                  12             5.44612             5.37272           0.0173773
                  13             5.41947             5.37631           0.0164085
                  14             5.41387               5.379           0.0154542
                  15             5.34167             5.37651           0.0146229
                  16             5.40273             5.37815           0.0138005
                  17             5.36788             5.37754           0.0130019
                  18             5.27999             5.37212           0.0133614
                  19             5.35212             5.37107           0.0126996
                  20             5.32172              5.3686           0.0123019
