#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              3.9075              3.9075                   0
                   2              5.7213              4.8144            0.641275
                   3              5.0103              4.8797            0.430829
                   4              4.7291             4.84205            0.324762
                   5              4.9393              4.8615            0.260392
                   6              5.2907             4.93303            0.226606
                   7              5.6886             5.04097            0.218433
                   8               5.302              5.0736             0.19355
                   9              5.5456             5.12604            0.179009
                  10              5.6254             5.17598            0.167929
                  11              4.3353             5.09955            0.169162
                  12              5.5244             5.13496            0.158726
                  13              5.4241              5.1572            0.148067
                  14              5.2785             5.16586            0.137744
                  15              4.4157             5.11585             0.13734
                  16              4.8926              5.1019            0.129463
                  17              5.0583             5.09934            0.121873
                  18              5.3357             5.11247            0.115808
                  19               4.436             5.07686            0.115055
                  20              5.3834             5.09219            0.110319
