#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.5615              1.5615                   0
                   2              1.6628             1.61215            0.035815
                   3               2.201             1.80843            0.162034
                   4              2.2817             1.92675            0.158957
                   5              1.9929             1.93998            0.127715
                   6              1.7536             1.90892            0.110142
                   7              1.8538             1.90104           0.0946888
                   8              2.2885             1.94948             0.09443
                   9              2.1813             1.97523           0.0873803
                  10              1.7466             1.95237           0.0815786
                  11              2.4241             1.99525           0.0846874
                  12               1.964             1.99265           0.0776701
                  13              2.1315             2.00333           0.0724262
                  14              1.9531             1.99974           0.0673417
                  15              1.7531              1.9833           0.0648286
                  16              1.5472             1.95604           0.0662593
                  17              1.2179             1.91262           0.0752555
                  18              2.2503             1.93138           0.0733756
                  19              2.2065             1.94586           0.0709281
                  20              1.7842             1.93778           0.0678407
