#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             9.42315             9.42315                   0
                   2             9.30384              9.3635            0.042181
                   3             9.60386             9.44362           0.0712066
                   4             9.46551             9.44909           0.0536148
                   5             9.52308             9.46389           0.0448876
                   6             9.25637              9.4293             0.04895
                   7             9.39094             9.42382           0.0422628
                   8             9.34862             9.41442            0.038011
                   9             9.21204             9.39193           0.0398883
                  10             9.39823             9.39256           0.0359044
                  11             9.39524             9.39281           0.0326412
                  12               9.424             9.39541           0.0300244
                  13             9.62812             9.41331           0.0326177
                  14             9.47544             9.41775           0.0305884
                  15             9.22332             9.40478           0.0311746
                  16             9.38047             9.40327           0.0292632
                  17             9.50867             9.40947           0.0281911
                  18             9.33945             9.40558           0.0268919
                  19              9.2474             9.39725           0.0267341
                  20             9.23912             9.38934           0.0265408
