#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              3.6528              3.6528                   0
                   2              4.0151             3.83395            0.128092
                   3              4.8567             4.17487            0.291162
                   4              4.0946              4.1548            0.219062
                   5              3.8064             4.08512            0.186001
                   6              3.4453             3.97848            0.183034
                   7              4.2198             4.01296              0.1601
                   8              4.3111             4.05022             0.14436
                   9              4.8241             4.13621            0.151783
                  10              3.3551              4.0581            0.155409
                  11              4.3079             4.08081            0.142931
                  12              3.6037             4.04105            0.136438
                  13              3.6737             4.01279            0.128836
                  14              3.9574             4.00884            0.119694
                  15              3.7853             3.99393            0.112638
                  16              3.5075             3.96353            0.109624
                  17              2.7203              3.8904            0.125215
                  18               4.726             3.93682            0.126572
                  19               3.782             3.92867            0.120172
                  20              3.4156             3.90302             0.11687
