#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             46.5456             46.5456                   0
                   2             47.5745             47.0601             0.36375
                   3             47.0777             47.0659            0.242547
                   4              47.354             47.1379            0.192306
                   5             47.0155             47.1135            0.155395
                   6               46.73             47.0496            0.142031
                   7             46.6237             46.9887            0.134141
                   8             45.2715             46.7741            0.232582
                   9             45.5657             46.6398            0.242414
                  10             45.9613             46.5719             0.22747
                  11             45.9609             46.5164            0.213465
                  12             46.5973             46.5231            0.195783
                  13              46.681             46.5353            0.181099
                  14             46.1324             46.5065            0.170434
                  15             46.7051             46.5198            0.159586
                  16              46.938             46.5459            0.151737
                  17             45.3479             46.4754            0.158333
                  18             47.6002             46.5379            0.161397
                  19             46.6703             46.5449            0.153052
                  20             46.2948             46.5324             0.14591
