#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             7.10965             7.10965                   0
                   2             7.08772             7.09869          0.00775332
                   3             7.24461             7.14733           0.0400506
                   4             7.19584             7.15946           0.0318212
                   5             7.34906             7.19738           0.0424084
                   6             7.16247             7.19156           0.0357372
                   7             7.16389             7.18761           0.0308497
                   8             7.29759             7.20136           0.0299003
                   9             7.18868             7.19995           0.0266112
                  10             7.13421             7.19337           0.0247486
                  11             7.14907             7.18935           0.0228241
                  12             7.06516               7.179           0.0231497
                  13             7.13555             7.17566           0.0216088
                  14             7.15439             7.17414           0.0201187
                  15              7.1797             7.17451           0.0187809
                  16             7.07532             7.16831            0.018602
                  17             7.19984             7.17016              0.0176
                  18             7.08915             7.16566           0.0171881
                  19             7.25045             7.17013           0.0168528
                  20             7.15529             7.16938           0.0160265
