#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1             31.2004             31.2004                   0
                   2             35.2375             33.2189             1.42733
                   3             33.4858             33.3079            0.954321
                   4             29.7656             32.4223             1.04903
                   5             30.9533             32.1285            0.879407
                   6             28.3474             31.4983            0.931665
                   7             37.4999             32.3557             1.12596
                   8              31.136             32.2032            0.995481
                   9             35.7276             32.5948            0.958805
                  10             29.1805             32.2534            0.921715
                  11              32.586             32.2836            0.838418
                  12             31.4236              32.212            0.771607
                  13             31.6342             32.1675            0.713532
                  14             30.3599             32.0384            0.674146
                  15             34.0611             32.1733            0.642548
                  16             26.7056             31.8315            0.687278
                  17             32.3694             31.8632            0.647578
                  18             29.5434             31.7343            0.624294
                  19             34.5327             31.8816            0.608562
                  20             33.8898              31.982            0.586359
