#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.5451              0.5451                   0
                   2              0.9037              0.7244            0.126784
                   3              1.0443            0.831033            0.121345
                   4              1.0049              0.8745           0.0984864
                   5              1.0001             0.89962           0.0819301
                   6               0.583             0.84685           0.0835586
                   7              0.7854            0.838071           0.0720814
                   8              1.1889            0.881925           0.0752377
                   9              1.0569            0.901367           0.0693444
                  10               0.596             0.87083           0.0688058
                  11              1.1142            0.892955           0.0660121
                  12              0.7641            0.882217           0.0613782
                  13              0.9262              0.8856             0.05675
                  14              0.5962            0.864929           0.0563356
                  15              0.6404             0.84996           0.0545322
                  16              0.6069            0.834769           0.0531978
                  17              0.5401            0.817435            0.052817
                  18              1.0916            0.832667           0.0520326
                  19              0.9631            0.839532           0.0497448
                  20              0.8534            0.840225           0.0472624
