#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1            -0.47394             -0.47394                    0
                   2           -0.477204            -0.475572             0.001154
                   3            -0.47558            -0.475575          0.000769335
                   4           -0.475536            -0.475565          0.000577062
                   5           -0.473028            -0.475058          0.000647367
                   6           -0.475172            -0.475077          0.000539753
                   7           -0.476204            -0.475238          0.000486078
                   8           -0.473704            -0.475046           0.00046158
                   9           -0.475936            -0.475145          0.000420753
                  10           -0.473992             -0.47503          0.000394156
                  11           -0.475844            -0.475104          0.000365211
                  12           -0.474916            -0.475088          0.000335111
                  13            -0.47456            -0.475047          0.000311785
                  14            -0.47498            -0.475043          0.000289552
                  15           -0.474088            -0.474979          0.000277153
                  16           -0.475664            -0.475022          0.000263118
                  17           -0.476324            -0.475098          0.000258551
                  18           -0.474012            -0.475038          0.000251132
                  19           -0.476352            -0.475107          0.000247254
                  20           -0.474104            -0.475057          0.000239925
