#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             71.9411             71.9411                   0
                   2             73.0345             72.4878              0.3866
                   3             74.1378             73.0378             0.51778
                   4             74.1996             73.3283            0.462687
                   5              71.823             73.0272            0.457733
                   6             71.1148             72.7085            0.479745
                   7             75.1809             73.0617            0.525381
                   8             71.6637             72.8869            0.487905
                   9             72.9238              72.891            0.433711
                  10             71.1514             72.7171            0.423795
                  11             73.3503             72.7746            0.389159
                  12             72.2323             72.7294            0.359344
                  13             73.0148             72.7514            0.332372
                  14             71.7506             72.6799            0.316225
                  15              72.955             72.6982            0.295674
                  16             71.5817             72.6285            0.285311
                  17             72.4019             72.6151            0.268839
                  18             72.2834             72.5967            0.254534
                  19             74.6153             72.7029            0.262376
                  20              72.532             72.6944            0.249396
