#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             10.1708             10.1708                   0
                   2             10.4317             10.3012           0.0922487
                   3             10.4606             10.3544           0.0752471
                   4             10.4147             10.3694           0.0579277
                   5             10.4365             10.3829           0.0478702
                   6             10.1175             10.3386           0.0567567
                   7             10.3544             10.3409           0.0486935
                   8             10.2997             10.3357           0.0428781
                   9             10.3155             10.3335           0.0381726
                  10             10.3417             10.3343           0.0343642
                  11             10.3726             10.3378           0.0314156
                  12             10.2624             10.3315           0.0294187
                  13             10.0792             10.3121            0.032941
                  14             10.3225             10.3128           0.0305964
                  15             10.2888             10.3112           0.0285988
                  16             10.3021             10.3107           0.0268171
                  17             10.3904             10.3154           0.0256466
                  18             10.2481             10.3116           0.0244926
                  19             10.3999             10.3163           0.0236403
                  20             10.2821             10.3146           0.0225201
