#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.8197              1.8197                   0
                   2              1.9291              1.8744           0.0386787
                   3              2.5392               2.096            0.182764
                   4               2.455             2.18575            0.157576
                   5              2.0239             2.15338            0.129343
                   6              1.7673             2.08903            0.122753
                   7              1.9345             2.06696            0.107183
                   8              2.3469             2.10195           0.0993334
                   9              2.3669             2.13139            0.092556
                  10              1.7775               2.096           0.0898114
                  11               2.625             2.14409           0.0936412
                  12              2.3067             2.15764           0.0868127
                  13              2.3375             2.17148           0.0812298
                  14              2.1041             2.16666           0.0755701
                  15              1.9035             2.14912             0.07254
                  16              1.5602             2.11231           0.0767787
                  17              1.3448             2.06716           0.0845001
                  18              2.5382             2.09333           0.0837597
                  19              2.4276             2.11093           0.0811779
                  20              2.0755             2.10915           0.0771383
