#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.9471              1.9471                   0
                   2              1.9678             1.95745          0.00731856
                   3              1.9195              1.9448           0.0114231
                   4              1.8814             1.92895           0.0161807
                   5              1.8402              1.9112           0.0204844
                   6              2.0633             1.93655           0.0287561
                   7              2.0721             1.95591           0.0304785
                   8               2.107              1.9748           0.0319891
                   9              1.8012             1.95551           0.0337529
                  10              1.7899             1.93895              0.0342
                  11              2.0543             1.94944           0.0326591
                  12               1.898             1.94515           0.0302174
                  13              2.1539             1.96121           0.0318753
                  14              2.1632             1.97564           0.0327012
                  15              1.8767             1.96904           0.0311792
                  16              2.6753             2.01318           0.0517793
                  17              1.6726             1.99315           0.0524663
                  18              2.5978             2.02674           0.0593386
                  19              2.1168             2.03148           0.0564045
                  20               2.217             2.04075           0.0543417
