#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1               4.818               4.818                   0
                   2              4.8696              4.8438           0.0182434
                   3              6.6255              5.4377             0.48507
                   4              5.0426             5.33892            0.373724
                   5              4.9719             5.26552            0.306103
                   6              4.9154             5.20717            0.260589
                   7              5.9537             5.31381            0.244212
                   8              5.5739             5.34632            0.215838
                   9              6.0906             5.42902            0.207094
                  10              4.9438              5.3805            0.191985
                  11              5.3541              5.3781            0.174546
                  12              4.4145              5.2978            0.177514
                  13              4.5807             5.24264            0.172216
                  14              4.4276             5.18442             0.16947
                  15              4.4955             5.13849            0.164277
                  16              5.1534             5.13943            0.154013
                  17              4.1745             5.08266             0.15506
                  18              5.9419              5.1304            0.153618
                  19              6.3254             5.19329            0.157884
                  20              4.4657             5.15692            0.154124
