#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.5425              0.5425                   0
                   2              0.9555               0.749            0.146018
                   3               1.042            0.846667            0.125838
                   4              1.0633            0.900825            0.105391
                   5              1.0575             0.93216           0.0888487
                   6                0.63              0.8818           0.0871519
                   7              0.8872            0.882571            0.074705
                   8              1.1887            0.920837           0.0745257
                   9              1.0604            0.936344           0.0678392
                  10              0.6193             0.90464           0.0680618
                  11              1.1025            0.922627           0.0642072
                  12               0.826            0.914575           0.0593594
                  13              0.9563            0.917785             0.05488
                  14              0.5811            0.893736           0.0559818
                  15              0.6553             0.87784           0.0544597
                  16              0.6386            0.862887           0.0530689
                  17              0.5252            0.843024           0.0535359
                  18              1.0709            0.855683            0.052037
                  19              0.9448            0.860374           0.0495091
                  20              0.8914            0.861925            0.047058
