#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             37.1236             37.1236                   0
                   2             38.5933             37.8584            0.519633
                   3             37.0969             37.6046            0.403685
                   4              37.078              37.473            0.323517
                   5             38.1671             37.6118            0.287061
                   6             38.7313             37.7984            0.293658
                   7             38.0435             37.8334            0.253786
                   8             37.6212             37.8069            0.223445
                   9             37.4055             37.7623             0.20302
                  10             38.2015             37.8062            0.187408
                  11             37.3601             37.7656            0.174704
                  12             38.2415             37.8053            0.164584
                  13             37.0776             37.7493            0.161162
                  14             37.2612             37.7144            0.153375
                  15             37.4972                37.7            0.143833
                  16             37.3747             37.6796            0.136272
                  17             36.5023             37.6104            0.144788
                  18             38.0371             37.6341            0.138671
                  19             36.8469             37.5926            0.137422
                  20             37.4508             37.5856            0.130734
