#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             5.81044             5.81044                   0
                   2             5.71257             5.76151           0.0345994
                   3             5.84778             5.79026           0.0329148
                   4             5.83502             5.80145           0.0265202
                   5             5.89531             5.82022           0.0270555
                   6             5.81766              5.8198           0.0225496
                   7              5.7837             5.81464           0.0199093
                   8             5.89143             5.82424           0.0195982
                   9             5.78165             5.81951            0.017983
                  10             5.86737             5.82429           0.0168095
                  11             5.81347             5.82331           0.0153101
                  12             5.90624             5.83022           0.0155158
                  13              5.8551             5.83213           0.0144398
                  14             5.84705              5.8332           0.0134477
                  15             5.72629             5.82607            0.014316
                  16             5.86859             5.82873           0.0136656
                  17             5.84755             5.82984           0.0129065
                  18             5.75718              5.8258           0.0128051
                  19             5.73795             5.82118            0.012939
                  20             5.75413             5.81782           0.0127189
