#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              33.954              33.954                   0
                   2             26.9577             30.4558             2.47357
                   3             29.9839             30.2985             1.65404
                   4             32.8666             30.9406             1.35943
                   5             25.8677              29.926             1.41642
                   6             30.8872             30.0862             1.18937
                   7             30.4169             30.1334              1.0204
                   8              29.035             29.9961             0.90204
                   9             27.3657             29.7039            0.847841
                  10              27.934             29.5269            0.781312
                  11             29.9848             29.5685            0.711392
                  12             29.5038             29.5631            0.652129
                  13              29.406              29.551            0.602078
                  14             34.8697             29.9309            0.668267
                  15              30.105             29.9425            0.623816
                  16             31.9481             30.0679            0.597289
                  17             31.9288             30.1773            0.572097
                  18             27.1609             30.0098            0.564324
                  19             33.0337             30.1689            0.556614
                  20             31.7151             30.2462            0.534125
