#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             57.5452             57.5452                   0
                   2             59.2237             58.3845             0.59342
                   3             58.0363             58.2684            0.406803
                   4             57.1426             57.9869            0.390513
                   5             56.2363             57.6368            0.442344
                   6             56.7255             57.4849            0.393835
                   7             57.4583             57.4811            0.337591
                   8             56.5691             57.3671            0.314051
                   9             56.7176              57.295            0.287329
                  10             57.3067             57.2961            0.258598
                  11             57.7856             57.3406            0.238887
                  12              57.768             57.3762            0.221618
                  13             57.8838             57.4153            0.207981
                  14             56.3304             57.3378            0.207058
                  15             57.3926             57.3415            0.193287
                  16             56.4955             57.2886              0.1883
                  17             56.6526             57.2512            0.180901
                  18             56.4328             57.2057            0.176471
                  19             57.2581             57.2085            0.167205
                  20             57.7473             57.2354            0.161001
