#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             42.3044             42.3044                   0
                   2              42.872             42.5882            0.200667
                   3             43.1604             42.7789            0.205314
                   4             42.5624             42.7248            0.160962
                   5             42.1648             42.6128            0.163142
                   6             43.4819             42.7577            0.189652
                   7             41.8942             42.6343            0.198666
                   8             42.7279              42.646            0.174177
                   9             41.9633             42.5701            0.170543
                  10               42.43             42.5561            0.154064
                  11             42.4706             42.5483            0.140254
                  12             42.4961              42.544            0.128634
                  13             42.7767             42.5619            0.119978
                  14             43.2585             42.6117            0.121287
                  15             42.4052             42.5979            0.113979
                  16             42.4429             42.5882            0.107266
                  17              43.666             42.6516            0.118218
                  18             43.5331             42.7006            0.121371
                  19             42.6124             42.6959            0.115072
                  20             42.6805             42.6952            0.109321
