#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              2.9697              2.9697                   0
                   2              2.3136             2.64165            0.231966
                   3              2.6065             2.62993             0.15494
                   4              3.0671             2.73923            0.149874
                   5              2.3722             2.66582            0.136698
                   6              3.2538             2.76382            0.144843
                   7              2.5034             2.72661             0.12884
                   8              3.0141             2.76255             0.11764
                   9              2.8106             2.76789             0.10469
                  10              2.4523             2.73633           0.0988633
                  11              3.3604             2.79306            0.104899
                  12              3.1412             2.82207            0.100089
                  13              2.7832             2.81908           0.0924341
                  14              3.1937             2.84584            0.089621
                  15              2.5943             2.82907           0.0852008
                  16              2.8867             2.83267           0.0799518
                  17              3.0009             2.84257           0.0758587
                  18               3.085             2.85604           0.0728301
                  19              3.1819             2.87319           0.0709876
                  20              3.5077             2.90491           0.0741896
