#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             177.343             177.343                   0
                   2             179.825             178.584            0.877567
                   3             178.224             178.464            0.593192
                   4             169.888              176.32             1.90931
                   5             170.899             175.236             1.80928
                   6             167.311             173.915             1.93054
                   7             176.164             174.236             1.68125
                   8             168.546             173.525             1.61456
                   9             171.707             173.323             1.44775
                  10             175.546             173.545             1.31992
                  11             178.391             173.986              1.2713
                  12             180.711             174.546             1.28297
                  13              179.52             174.929             1.24001
                  14             166.863             174.353             1.27829
                  15             168.896             173.989             1.24377
                  16             174.654             174.031             1.16673
                  17             180.559             174.415             1.15958
                  18             177.683             174.596             1.10929
                  19             162.949             173.983             1.20846
                  20             171.618             173.865             1.15381
