#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             17.4906             17.4906                   0
                   2             16.4974              16.994            0.351159
                   3             17.4438             17.1439            0.264172
                   4             17.0043              17.109            0.200424
                   5             16.8781             17.0628            0.165577
                   6             17.1977             17.0853            0.139498
                   7             16.2334             16.9636            0.164294
                   8             16.8485             16.9492            0.144386
                   9             17.1271              16.969            0.129688
                  10             17.1427             16.9863            0.117877
                  11             16.8595             16.9748            0.107724
                  12             17.2076             16.9942            0.100479
                  13             16.8407             16.9824           0.0934413
                  14             17.1363             16.9934            0.087411
                  15             16.7341             16.9761           0.0832758
                  16             17.5505              17.012           0.0854588
                  17             16.9229             17.0068           0.0805924
                  18             17.3599             17.0264           0.0784671
                  19               16.51             16.9992           0.0789045
                  20             17.3183             17.0152           0.0765554
