#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             32.3495             32.3495                   0
                   2             32.7315             32.5405            0.135057
                   3             32.7425             32.6079            0.105496
                   4             32.4057             32.5573           0.0904185
                   5             31.9827             32.4424            0.125698
                   6             32.4597             32.4453            0.104782
                   7             32.0607             32.3903            0.103219
                   8              32.728             32.4326           0.0985689
                   9             32.8638             32.4805           0.0985779
                  10              32.492             32.4816           0.0887269
                  11             32.5329             32.4863           0.0807833
                  12             31.9199             32.4391           0.0867493
                  13             32.8759             32.4727           0.0863397
                  14             32.4076              32.468           0.0802977
                  15             33.4203             32.5315           0.0968424
                  16             32.8069             32.5487           0.0923068
                  17             32.0594               32.52           0.0912548
                  18             32.9431             32.5435            0.089162
                  19             32.7142             32.5525           0.0849209
                  20             32.6127             32.5555           0.0807283
