#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             5.04516             5.04516                   0
                   2             4.98264              5.0139           0.0221022
                   3             5.07293             5.03358           0.0218008
                   4             5.02023             5.03024           0.0166038
                   5             4.96719             5.01763           0.0174254
                   6             4.98651             5.01244           0.0152737
                   7             5.00105             5.01082           0.0131783
                   8             4.97323             5.00612           0.0123401
                   9             4.94528             4.99936           0.0126859
                  10             5.01535             5.00096           0.0115177
                  11             4.99794             5.00068           0.0104739
                  12             4.90934             4.99307           0.0120539
                  13             5.09913             5.00123           0.0136102
                  14             4.90693             4.99449           0.0142072
                  15             5.01438             4.99582           0.0133218
                  16             4.99786             4.99595           0.0124898
                  17             5.09361             5.00169           0.0130095
                  18             5.01427             5.00239           0.0123055
                  19             4.96304             5.00032           0.0118308
                  20             4.91362             4.99599           0.0120071
