#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.7725              1.7725                   0
                   2              1.6011              1.6868           0.0605991
                   3               1.325              1.5662            0.106435
                   4              1.4783             1.54422           0.0820632
                   5              1.2183             1.47904           0.0878024
                   6              1.1738             1.42817           0.0866626
                   7              1.2926              1.4088           0.0764155
                   8              1.0021             1.35796           0.0820496
                   9              1.6602             1.39154           0.0795089
                  10              1.6789             1.42028           0.0765748
                  11              1.8172             1.45636           0.0776511
                  12              1.3695             1.44912           0.0715168
                  13               1.204             1.43027           0.0684561
                  14              1.5848             1.44131           0.0644501
                  15              1.5052             1.44557            0.060294
                  16              1.8342             1.46986            0.061223
                  17              1.5449             1.47427           0.0577806
                  18              1.9039             1.49814           0.0592958
                  19              1.7774             1.51284            0.057968
                  20              1.9391             1.53415           0.0588574
